dataset_id,measure_id,measure_name
46,35,Рязанская область
46,36,Смоленская область
46,37,Тамбовская область
46,38,Тверская область
46,39,Тульская область
46,40,Ярославская область
46,41,г. Москва
46,42,Северо-Западный федеральный округ
46,43,Республика Карелия
46,44,Республика Коми
46,45,Архангельская область
46,46,"Архангельская область, в том числе Ненецкий автономный округ"
46,47,Архангельская область без данных по Ненецкому автономному округу
46,48,Вологодская область
46,49,Калининградская область
46,50,Ленинградская область
46,51,Мурманская область
46,52,Новгородская область
46,53,Псковская область
46,54,г. Санкт-Петербург
46,55,Южный федеральный округ
46,56,Республика Адыгея (Адыгея)
46,57,Республика Калмыкия
46,58,Республика Крым
46,59,Краснодарский край
46,60,Астраханская область
46,61,Волгоградская область
46,62,Ростовская область
46,63,г. Севастополь
46,64,Северо-Кавказский федеральный округ
46,65,Республика Дагестан
46,66,Республика Ингушетия
46,67,Кабардино-Балкарская Республика
46,68,Карачаево-Черкесская Республика
46,69,Республика Северная Осетия - Алания
46,70,Чеченская Республика
46,71,Ставропольский край
46,72,Приволжский федеральный округ
46,73,Республика Башкортостан
46,74,Республика Марий Эл
46,75,Республика Мордовия
46,76,Республика Татарстан (Татарстан)
46,77,Удмуртская Республика
46,78,Чувашская Республика - Чувашия
46,79,Пермский край
46,80,Кировская область
46,81,Нижегородская область
46,82,Оренбургская область
46,83,Пензенская область
46,84,Самарская область
46,85,Саратовская область
46,86,Ульяновская область
46,87,Уральский федеральный округ
46,88,Курганская область
46,89,Свердловская область
46,90,Тюменская область
46,91,"Тюменская область, в том числе Ханты-Мансийский автономный округ - Югра"
46,92,"Тюменская область, в том числе Ямало-Ненецкий автономный округ"
46,93,Тюменская область без данных по Ханты-Мансийскому автономному округу - Югре и Ямало-Ненецкому автономному округу
46,94,Челябинская область
46,95,Сибирский федеральный округ
46,96,Республика Алтай
46,97,Республика Тыва
46,98,Республика Хакасия
46,99,Алтайский край
46,100,Красноярский край
46,101,Иркутская область
46,102,Кемеровская область - Кузбасс
46,103,Новосибирская область
46,104,Омская область
46,105,Томская область
46,106,Дальневосточный федеральный округ
46,107,Республика Бурятия
46,108,Республика Саха (Якутия)
46,109,Забайкальский край
46,110,Камчатский край
46,111,Приморский край
46,112,Хабаровский край
46,113,Амурская область
46,114,Магаданская область
46,115,Сахалинская область
46,116,Еврейская автономная область
46,117,Чукотский автономный округ
44,22,Российская Федерация
44,23,Центральный федеральный округ
44,24,Белгородская область
44,25,Брянская область
44,26,Владимирская область
44,27,Воронежская область
44,28,Ивановская область
44,29,Калужская область
44,30,Костромская область
44,31,Курская область
44,32,Липецкая область
44,33,Московская область
44,34,Орловская область
44,35,Рязанская область
44,36,Смоленская область
44,37,Тамбовская область
44,38,Тверская область
44,39,Тульская область
44,40,Ярославская область
44,41,г. Москва
44,42,Северо-Западный федеральный округ
44,43,Республика Карелия
44,44,Республика Коми
44,45,Архангельская область
44,46,"Архангельская область, в том числе Ненецкий автономный округ"
44,47,Архангельская область без данных по Ненецкому автономному округу
44,48,Вологодская область
44,49,Калининградская область
44,50,Ленинградская область
